"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username"""
"1919615901877649772,""Tue May 06 23:50:41 +0000 2025"",""0"",""@velhein_astartu @ardisatriawan Bener bgt janggar dan abah ntar sblm pemilu 2029 balik lagi merayu kalian. Klo skg mode gelandangan politik dulu"",""1919902669386481922"","""",""velhein_astartu"",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1919902669386481922"",""2148887323"","
"1919554610898841647,""Tue May 06 23:43:09 +0000 2025"",""0"",""@xquitavee @prabowo @jokowi Woi babi ini bukan masalah kalah pilpres lagi tp harga diri bangsa yg dipermalukan sama si dungu jokowi......."",""1919900774391247283"","""",""xquitavee"",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1919900774391247283"",""1885669701717774336"","
"1919896833725497791,""Tue May 06 23:27:29 +0000 2025"",""0"",""Isinya kadang lebih cocok buat debat politik murahan #MediaTempoPengkhianatBangsa MediaPemusnah FaktaNyata https://t.co/QpWZxeU5QF"",""1919896833725497791"",""https://pbs.twimg.com/media/GqTX_k-bAAETE1P.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1919896833725497791"",""1791617076928626688"","
"1919791441766748345,""Tue May 06 23:23:18 +0000 2025"",""1"",""@rstrnpdg @itsurboihyl Nambahin. Diluar diskusi perkontenan. Belajar dari pilpres 2024. Anies itu butuh operator lapangan yang lebih mumpuni lagi. Operator lapangan ya berarti termasuk aktor komunikasi ke elite dan tokoh-tokoh yang menguasai kantong suara masyarakat bawah. Ganjar dan ET itu"",""1919895778585399765"","""",""fleminxxton"",""in"","""",""0"",""1"",""0"",""https://x.com/undefined/status/1919895778585399765"",""1716116207424966656"","
"1919878034951438587,""Tue May 06 23:21:09 +0000 2025"",""0"",""@DokterTifa @prabowo Masalahnya Pak prabowo mendukung gutu politiknya karena utang jasa pilpres kemaren nama juga di menangkan Jadi harus patuh sama yang memenangkan beliau.. Itu faktanya Sorry to say https://t.co/ZU4Sad0Z3L"",""1919895240514712035"",""https://pbs.twimg.com/media/GqTWi9AbAAA0Yvo.jpg"",""DokterTifa"",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1919895240514712035"",""1459082869054185480"","
"1919513302214050239,""Tue May 06 23:07:55 +0000 2025"",""25"",""@MayaA62580468 Prabowo yang pilih Gibran dan menolak Ganjar semua itu direstui mayoritas rakyat yang pilih Prabowo Gibran dengan hanya sekali putaran. Sakit akibat kalah Pilpres itu memang bisa bikin gila "",""1919891909599785015"","""",""MayaA62580468"",""in"","""",""0"",""3"",""2"",""https://x.com/undefined/status/1919891909599785015"",""1743939521673367552"","
"1919886426818170906,""Tue May 06 23:03:49 +0000 2025"",""2"",""@msaid_didu 10 thn negara ini dibuat makin rusak oleh jkw dn skrg blm ad tanda2 perbaikan setelah prabowo presiden dn malah terlihat makin runyam Revolusi pk seluruh rakyat agar jkw bisa diadili keluarga dn kroni2nya dn benerin sistem pemilu agar lahir pemimpin yg bnr2 amanah"",""1919890877738062199"","""",""msaid_didu"",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1919890877738062199"",""1221355787840131072"","
"1919513302214050239,""Tue May 06 23:03:30 +0000 2025"",""0"",""@MayaA62580468 Jika kamu malu sbg warga negara indonesia pindah saja kewarganegaraan. Pemilu sdh slsi kmngan sdh diputuskan. Sy tdk memilih beliau. Nmn scr hukum dan syah prabowo - gibran presiden dan wakil negeri ini. Sbg warga ngr hrs hormatilah kpts negara tsb. Dsr"",""1919890798243647760"","""",""MayaA62580468"",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1919890798243647760"",""1721788287214571520"","
"1919890756762009880,""Tue May 06 23:03:20 +0000 2025"",""11"",""Hehehe..dulu juga lucu. Orang2 pada nangis Prabowo pasca debat. Polanya sama "",""1919890756762009880"","""","""",""in"","""",""0"",""0"",""7"",""https://x.com/undefined/status/1919890756762009880"",""59135523"","
"1919549624769249468,""Tue May 06 23:02:52 +0000 2025"",""2"",""@DS_yantie @PDI_Perjuangan Pacul sadar dirinya tak sehebat Jokowi. Kekalahan Banteng di Jateng dan basis di daerah lain pun Ganjar-Mahfud adalah fakta. No debat. Dan istilah petugas partai itu stigmanya buruk. Tak relevan lagi di masa kami yang lahir era Gen Z yang suka partai terbuka. No sendiko dawuh."",""1919890638969176439"","""",""DS_yantie"",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1919890638969176439"",""1682477993858588676"","
